#{"t_start": 1773069557.305017, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.577604
19.0,154,2.663422
5.0,60,2.696674
9.0,106,2.755353
7.0,80,2.799669
9.0,102,2.856282
6.0,74,2.89726
5.0,60,2.930692
11.0,130,3.003332
2.0,26,3.0179
8.0,92,3.068834
9.0,102,3.127011
19.0,154,3.212395
6.0,70,3.251162
11.0,126,3.321031
10.0,116,3.385217
6.0,72,3.425079
19.0,154,3.510399
11.0,126,3.580421
11.0,130,5.167883
9.0,104,5.228827
10.0,118,5.296946
9.0,102,5.353679
11.0,130,5.426038
19.0,154,5.511266
8.0,92,5.562358
6.0,70,5.601258
6.0,72,5.641183
20.0,164,5.731991
3.0,38,5.753079
11.0,130,5.825103
11.0,130,5.89711
8.0,96,5.950394
15.0,118,6.015794
11.0,126,6.085697
12.0,140,6.16451
11.0,130,6.23693
10.0,116,6.301475
20.0,164,7.859041
11.0,130,7.932285
9.0,102,7.989014
11.0,130,8.061276
12.0,140,8.139189
9.0,106,8.198046
0.0,6,8.201429
11.0,130,8.273888
20.0,164,8.364629
9.0,104,8.422414
3.0,38,8.443588
7.0,82,8.489001
20.0,164,8.580041
6.0,70,8.618931
1.0,16,8.627866
20.0,164,8.719029
5.0,62,8.75358
3.0,38,8.774746
8.0,90,8.824886
10.0,116,8.889844
