r,l
140.0,6213
156.0,6489
104.0,6308
293.0,4911
13.0,1984
52.0,4186
43.0,4943
26.0,2814
74.0,5295
108.0,6453
43.0,3365
189.0,5919
303.0,6967
120.0,6381
278.0,6815
