#{"t_start": 1772182309.2811038, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.316333
19.0,154,3.449523
5.0,60,3.501234
9.0,106,3.592605
7.0,80,3.661672
9.0,102,3.749662
6.0,74,3.813457
5.0,60,3.865185
11.0,130,3.977066
2.0,26,3.999511
8.0,92,4.078653
9.0,102,4.166479
19.0,154,4.299727
6.0,70,4.359949
11.0,126,4.46838
10.0,116,4.568104
6.0,72,4.630195
19.0,154,4.76269
11.0,126,4.870987
11.0,130,6.84676
9.0,104,6.944931
10.0,118,7.046898
9.0,102,7.134745
11.0,130,7.24658
19.0,154,7.379377
8.0,92,7.458603
6.0,70,7.51894
6.0,72,7.580978
20.0,164,7.722915
3.0,38,7.755665
11.0,130,7.867559
11.0,130,7.979542
8.0,96,8.062328
15.0,118,8.164114
11.0,126,8.272754
12.0,140,8.393607
11.0,130,8.506161
10.0,116,8.606711
20.0,164,10.753009
11.0,130,10.864977
9.0,102,10.952984
11.0,130,11.06474
12.0,140,11.185722
9.0,106,11.27691
0.0,6,11.282167
11.0,130,11.39412
20.0,164,11.53557
9.0,104,11.625065
3.0,38,11.657802
7.0,82,11.728483
20.0,164,11.869875
6.0,70,11.930054
1.0,16,11.943844
20.0,164,12.085557
5.0,62,12.139356
3.0,38,12.172313
8.0,90,12.249942
10.0,116,12.352633
