#{"t_start": 1772800665.2086825, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.204034
7.0,80,0.351016
12.0,140,0.616287
6.0,70,0.749631
7.0,84,0.909509
1.0,16,0.940144
2.0,26,0.989837
1.0,16,1.020474
4.0,48,1.112074
7.0,80,1.264342
17.0,188,1.633633
5.0,58,1.743947
6.0,72,1.88083
10.0,116,2.101212
1.0,16,2.131792
1.0,16,2.162318
10.0,116,2.382502
9.0,104,2.579944
7.0,84,2.740081
5.0,60,2.854074
2.0,26,2.903578
12.0,140,3.169286
12.0,142,3.438595
5.0,58,3.548809
9.0,102,3.763767
2.0,26,3.813366
3.0,38,3.88567
11.0,130,52.486789
5.0,60,52.601781
3.0,38,52.674607
6.0,70,52.810481
4.0,48,52.902662
11.0,126,53.143696
7.0,82,53.300677
4.0,48,53.392587
12.0,138,53.656402
7.0,80,53.809422
6.0,70,53.943427
17.0,188,54.304384
6.0,70,54.438521
9.0,106,54.641421
12.0,140,54.90925
6.0,70,55.043217
3.0,38,55.116276
12.0,140,55.38431
15.0,176,55.721616
6.0,70,55.855777
12.0,140,56.123926
4.0,48,56.215981
17.0,192,105.040064
12.0,142,105.323839
0.0,6,105.335447
3.0,38,105.407876
8.0,90,105.579078
2.0,26,105.628756
1.0,16,105.659409
7.0,80,105.811563
6.0,70,105.946408
4.0,48,106.037982
7.0,80,106.190282
4.0,48,106.281778
1.0,16,106.312422
2.0,26,106.362077
14.0,164,106.691362
17.0,188,107.058853
9.0,102,107.252892
9.0,104,107.450573
11.0,128,107.693927
1.0,16,107.726128
12.0,138,107.98878
8.0,92,108.163852
12.0,138,108.426866
10.0,116,108.6475
