#{"t_start": 1772807452.2687714, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.113504
7.0,80,0.212548
12.0,140,0.362533
6.0,70,0.434961
7.0,84,0.521666
1.0,16,0.538212
2.0,26,0.565001
1.0,16,0.581451
4.0,48,0.630865
7.0,80,0.713132
17.0,188,0.906687
5.0,58,0.966341
6.0,72,1.040354
10.0,116,1.159938
1.0,16,1.17634
1.0,16,1.192833
10.0,116,1.312391
9.0,104,1.419615
7.0,84,1.506039
5.0,60,1.567864
2.0,26,1.594667
12.0,140,1.738664
12.0,142,1.884501
5.0,58,1.944233
9.0,102,2.049448
2.0,26,2.076279
3.0,38,2.115408
11.0,130,4.613924
5.0,60,4.676504
3.0,38,4.716079
6.0,70,4.789049
4.0,48,4.839076
11.0,126,4.969778
7.0,82,5.054794
4.0,48,5.104359
12.0,138,5.246222
7.0,80,5.328644
6.0,70,5.400857
17.0,188,5.595044
6.0,70,5.667522
9.0,106,5.7774
12.0,140,5.922381
6.0,70,5.994808
3.0,38,6.034217
12.0,140,6.178974
15.0,176,6.360968
6.0,70,6.433102
12.0,140,6.578416
4.0,48,6.630542
17.0,192,9.153154
12.0,142,9.299603
0.0,6,9.305886
3.0,38,9.345075
8.0,90,9.438208
2.0,26,9.465178
1.0,16,9.481811
7.0,80,9.564225
4.0,48,9.613429
5.0,58,9.673083
11.0,130,9.806532
7.0,80,9.889293
1.0,16,9.905967
12.0,140,10.050482
7.0,82,10.135076
1.0,16,10.15183
12.0,136,10.292287
7.0,80,10.37581
5.0,60,10.43764
12.0,140,10.582323
6.0,70,10.654846
14.0,164,10.826669
12.0,138,10.969642
9.0,102,11.075362
