#{"t_start": 1773096039.832889, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,3.38733
19.0,154,3.566417
5.0,60,3.635713
9.0,106,3.758155
7.0,80,3.850589
9.0,102,3.968261
6.0,74,4.057008
5.0,60,4.126445
11.0,130,4.276753
2.0,26,4.306881
8.0,92,4.413231
9.0,102,4.53111
19.0,154,4.709208
6.0,70,4.790065
11.0,126,4.935414
10.0,116,5.069333
6.0,72,5.152852
19.0,154,5.331286
11.0,126,5.479204
11.0,130,8.197072
9.0,104,8.32467
10.0,118,8.461839
9.0,102,8.580432
11.0,130,8.731349
19.0,154,8.909952
8.0,92,9.016701
6.0,70,9.097923
6.0,72,9.181543
20.0,164,9.372028
3.0,38,9.416161
11.0,130,9.567135
11.0,130,9.718285
8.0,96,9.829925
15.0,118,9.967185
11.0,126,10.113642
12.0,140,10.27816
11.0,130,10.429746
10.0,116,10.565139
20.0,164,13.254947
11.0,130,13.407269
9.0,102,13.526265
11.0,130,13.677836
12.0,140,13.840956
9.0,106,13.964428
0.0,6,13.971509
11.0,130,14.122912
20.0,164,14.313788
9.0,104,14.434921
3.0,38,14.479275
7.0,82,14.574812
20.0,164,14.765665
6.0,70,14.847193
1.0,16,14.865872
20.0,164,15.056737
5.0,62,15.129227
3.0,38,15.173529
8.0,90,15.280306
10.0,116,15.41544
