r,l
140.0,6213
260.0,6960
344.0,5123
112.0,6582
49.0,4443
311.0,6568
342.0,7936
304.0,6316
32.0,4377
32.0,2061
94.0,4507
315.0,7231
140.0,7124
250.0,5755
