,seed,perturbation,base_reward,perturbed_reward
0,0,1e-06,1840.2839144661623,1553.1329482803644
1,0,1.8329807108324375e-06,1840.2839144661623,1556.697660544186
2,0,3.359818286283781e-06,1840.2839144661623,1846.8908314087446
3,0,6.158482110660267e-06,1840.2839144661623,2391.490946840344
4,0,1.1288378916846883e-05,1840.2839144661623,1846.4151328419828
5,0,2.06913808111479e-05,1840.2839144661623,1851.9892798440874
6,0,3.792690190732254e-05,1840.2839144661623,1852.1022328157478
7,0,6.951927961775606e-05,1840.2839144661623,1842.9828993585427
8,0,0.00012742749857031334,1840.2839144661623,1554.4382383332925
9,0,0.00023357214690901214,1840.2839144661623,1552.673384366345
10,0,0.0004281332398719391,1840.2839144661623,1836.046889675728
11,0,0.0007847599703514606,1840.2839144661623,1561.9503774342563
12,0,0.0014384498882876629,1840.2839144661623,2139.8384633808964
13,0,0.0026366508987303583,1840.2839144661623,1540.9721994367358
14,0,0.004832930238571752,1840.2839144661623,2491.044022506813
15,0,0.008858667904100823,1840.2839144661623,1800.9399875990214
16,0,0.01623776739188721,1840.2839144661623,1966.8462914604609
17,0,0.029763514416313194,1840.2839144661623,1850.8082733092365
18,0,0.05455594781168514,1840.2839144661623,2584.5127387582356
19,0,0.1,1840.2839144661623,873.7960936118237
20,1,1e-06,2092.403482434572,2091.291809417145
21,1,1.8329807108324375e-06,2092.403482434572,2092.821336685225
22,1,3.359818286283781e-06,2092.403482434572,2095.352330048981
23,1,6.158482110660267e-06,2092.403482434572,2111.1319435040555
24,1,1.1288378916846883e-05,2092.403482434572,2108.858321128775
25,1,2.06913808111479e-05,2092.403482434572,2372.618419193741
26,1,3.792690190732254e-05,2092.403482434572,2100.2422077638676
27,1,6.951927961775606e-05,2092.403482434572,2363.2314441610956
28,1,0.00012742749857031334,2092.403482434572,2091.665936187875
29,1,0.00023357214690901214,2092.403482434572,2098.745967599705
30,1,0.0004281332398719391,2092.403482434572,2336.8249936708894
31,1,0.0007847599703514606,2092.403482434572,2398.407168148239
32,1,0.0014384498882876629,2092.403482434572,2235.8140877327082
33,1,0.0026366508987303583,2092.403482434572,1485.7347039173292
34,1,0.004832930238571752,2092.403482434572,1775.2804876532318
35,1,0.008858667904100823,2092.403482434572,2046.0043005253306
36,1,0.01623776739188721,2092.403482434572,1740.3542222865124
37,1,0.029763514416313194,2092.403482434572,2893.7803104964305
38,1,0.05455594781168514,2092.403482434572,3327.717455216455
39,1,0.1,2092.403482434572,836.2577305050111
40,2,1e-06,1543.8620347057029,1542.2516605164328
41,2,1.8329807108324375e-06,1543.8620347057029,1537.4067112856192
42,2,3.359818286283781e-06,1543.8620347057029,1537.3991495699663
43,2,6.158482110660267e-06,1543.8620347057029,1539.6689678186358
44,2,1.1288378916846883e-05,1543.8620347057029,1543.1061649585827
45,2,2.06913808111479e-05,1543.8620347057029,1538.3642819902425
46,2,3.792690190732254e-05,1543.8620347057029,1543.3232478022255
47,2,6.951927961775606e-05,1543.8620347057029,1539.0762714577609
48,2,0.00012742749857031334,1543.8620347057029,1832.7499874641637
49,2,0.00023357214690901214,1543.8620347057029,1554.8690752248583
50,2,0.0004281332398719391,1543.8620347057029,1549.517631670857
51,2,0.0007847599703514606,1543.8620347057029,1544.7118577664673
52,2,0.0014384498882876629,1543.8620347057029,1551.3219584389144
53,2,0.0026366508987303583,1543.8620347057029,1552.0983425591521
54,2,0.004832930238571752,1543.8620347057029,1557.1138815518145
55,2,0.008858667904100823,1543.8620347057029,3288.737613218336
56,2,0.01623776739188721,1543.8620347057029,1792.4348177211054
57,2,0.029763514416313194,1543.8620347057029,2375.0880983599745
58,2,0.05455594781168514,1543.8620347057029,2037.6465955398078
59,2,0.1,1543.8620347057029,873.9268976936432
60,3,1e-06,2065.9512195894604,2072.5376979518105
61,3,1.8329807108324375e-06,2065.9512195894604,2114.3380875384205
62,3,3.359818286283781e-06,2065.9512195894604,2071.223324302534
63,3,6.158482110660267e-06,2065.9512195894604,3245.1321644096515
64,3,1.1288378916846883e-05,2065.9512195894604,2094.5597288516487
65,3,2.06913808111479e-05,2065.9512195894604,1834.7493459062205
66,3,3.792690190732254e-05,2065.9512195894604,1831.4891883378443
67,3,6.951927961775606e-05,2065.9512195894604,2123.11432538694
68,3,0.00012742749857031334,2065.9512195894604,2378.580880932986
69,3,0.00023357214690901214,2065.9512195894604,1853.3189269355855
70,3,0.0004281332398719391,2065.9512195894604,2390.0198842942896
71,3,0.0007847599703514606,2065.9512195894604,1835.3273375786696
72,3,0.0014384498882876629,2065.9512195894604,1963.2612643807872
73,3,0.0026366508987303583,2065.9512195894604,2718.5889599899724
74,3,0.004832930238571752,2065.9512195894604,2087.9256913446966
