,seed,perturbation,base_reward,perturbed_reward
0,0,1e-08,1840.283914464519,1840.2841639389549
1,0,4.641588833612782e-08,1840.283914464519,1840.2850728874905
2,0,2.1544346900318822e-07,1840.283914464519,1840.2892994947588
3,0,1e-06,1840.283914464519,1840.3132877870262
4,0,4.641588833612773e-06,1840.283914464519,1553.1468214237707
5,0,2.1544346900318823e-05,1840.283914464519,1556.736999441331
6,0,0.0001,1840.283914464519,2357.469041666681
7,0,0.00046415888336127724,1840.283914464519,1550.8374559638826
8,0,0.002154434690031882,1840.283914464519,1559.8885666713963
9,0,0.01,1840.283914464519,2122.347899676911
10,1,1e-08,2092.403482435857,2092.708961276084
11,1,4.641588833612782e-08,2092.403482435857,2095.7150372245333
12,1,2.1544346900318822e-07,2092.403482435857,2095.82056669756
13,1,1e-06,2092.403482435857,2098.5444737112257
14,1,4.641588833612773e-06,2092.403482435857,2093.513537081328
15,1,2.1544346900318823e-05,2092.403482435857,2367.9610103982086
16,1,0.0001,2092.403482435857,2088.637185651434
17,1,0.00046415888336127724,2092.403482435857,2099.5273546577023
18,1,0.002154434690031882,2092.403482435857,2126.677423359764
19,1,0.01,2092.403482435857,2119.6701649590354
20,2,1e-08,1543.862034705698,1543.8620735935638
21,2,4.641588833612782e-08,1543.862034705698,1543.862215203171
22,2,2.1544346900318822e-07,1543.862034705698,1543.862872417442
23,2,1e-06,1543.862034705698,1543.8243292252446
24,2,4.641588833612773e-06,1543.862034705698,1543.7958485111485
25,2,2.1544346900318823e-05,1543.862034705698,1543.8576468633207
26,2,0.0001,1543.862034705698,1540.3892481390149
27,2,0.00046415888336127724,1543.862034705698,1555.6949919383246
28,2,0.002154434690031882,1543.862034705698,1960.7616838441197
29,2,0.01,1543.862034705698,1837.0860642307616
30,3,1e-08,2065.951219589433,2069.543418669509
31,3,4.641588833612782e-08,2065.951219589433,2079.1446175439632
32,3,2.1544346900318822e-07,2065.951219589433,2269.428220872972
33,3,1e-06,2065.951219589433,2073.9078151646927
34,3,4.641588833612773e-06,2065.951219589433,3197.1359045056083
35,3,2.1544346900318823e-05,2065.951219589433,2081.2386035302216
36,3,0.0001,2065.951219589433,1818.957387438783
37,3,0.00046415888336127724,2065.951219589433,1555.1407710843748
