,seed,perturbation,base_reward,perturbed_reward
0,0,1e-08,2385.6949151466733,2119.9379275815495
1,0,4.641588833612782e-08,2385.6949151466733,2401.7995524829375
2,0,2.1544346900318822e-07,2385.6949151466733,2566.265791133337
3,0,1e-06,2385.6949151466733,2275.374409578007
4,0,4.641588833612773e-06,2385.6949151466733,2730.477875781506
5,0,2.1544346900318823e-05,2385.6949151466733,2411.1466541616755
6,0,0.0001,2385.6949151466733,2088.900299422249
7,0,0.00046415888336127724,2385.6949151466733,1244.0293682337424
8,0,0.002154434690031882,2385.6949151466733,1231.5583458444419
9,0,0.01,2385.6949151466733,884.7516921927386
10,1,1e-08,2385.6949151466733,2121.986647446919
11,1,4.641588833612782e-08,2385.6949151466733,2116.548151584483
12,1,2.1544346900318822e-07,2385.6949151466733,2106.0824678799886
13,1,1e-06,2385.6949151466733,2065.5336576396157
14,1,4.641588833612773e-06,2385.6949151466733,2096.454302448059
15,1,2.1544346900318823e-05,2385.6949151466733,2089.84498876879
16,1,0.0001,2385.6949151466733,1819.4046294456464
17,1,0.00046415888336127724,2385.6949151466733,1830.2644801451434
18,1,0.002154434690031882,2385.6949151466733,1515.4996376006184
19,1,0.01,2385.6949151466733,915.0506730345022
20,2,1e-08,2385.6949151466733,2129.2710614719394
21,2,4.641588833612782e-08,2385.6949151466733,2654.8915913880433
22,2,2.1544346900318822e-07,2385.6949151466733,2118.724900702825
23,2,1e-06,2385.6949151466733,1825.863751121632
24,2,4.641588833612773e-06,2385.6949151466733,1846.4019317133254
25,2,2.1544346900318823e-05,2385.6949151466733,1824.321186091117
26,2,0.0001,2385.6949151466733,1530.6339523287686
27,2,0.00046415888336127724,2385.6949151466733,1901.352757866678
28,2,0.002154434690031882,2385.6949151466733,1934.1511703125366
29,2,0.01,2385.6949151466733,1020.4586187632615
30,3,1e-08,2385.6949151466733,2121.041861288296
31,3,4.641588833612782e-08,2385.6949151466733,2113.442662403978
32,3,2.1544346900318822e-07,2385.6949151466733,2384.784700092925
33,3,1e-06,2385.6949151466733,1816.8841789523092
34,3,4.641588833612773e-06,2385.6949151466733,1852.5077504017172
35,3,2.1544346900318823e-05,2385.6949151466733,2368.690889628078
36,3,0.0001,2385.6949151466733,1536.6870098025884
37,3,0.00046415888336127724,2385.6949151466733,1807.9036960509738
38,3,0.002154434690031882,2385.6949151466733,1558.827459078756
39,3,0.01,2385.6949151466733,1686.0059375186997
40,4,1e-08,2385.6949151466733,3330.7144920312785
41,4,4.641588833612782e-08,2385.6949151466733,2381.192069104037
42,4,2.1544346900318822e-07,2385.6949151466733,2109.3139326960923
43,4,1e-06,2385.6949151466733,2265.107216423635
44,4,4.641588833612773e-06,2385.6949151466733,2118.962797282458
45,4,2.1544346900318823e-05,2385.6949151466733,1836.405324557727
46,4,0.0001,2385.6949151466733,1562.8855314744574
47,4,0.00046415888336127724,2385.6949151466733,2102.017648053028
48,4,0.002154434690031882,2385.6949151466733,1527.1557074627592
49,4,0.01,2385.6949151466733,595.7534045658572
50,5,1e-08,2385.6949151466733,2120.065302045805
51,5,4.641588833612782e-08,2385.6949151466733,2117.3167736416267
52,5,2.1544346900318822e-07,2385.6949151466733,2103.5203497280627
53,5,1e-06,2385.6949151466733,1805.78669038505
54,5,4.641588833612773e-06,2385.6949151466733,2396.21614888455
55,5,2.1544346900318823e-05,2385.6949151466733,2064.15891209877
56,5,0.0001,2385.6949151466733,1782.8315203748255
57,5,0.00046415888336127724,2385.6949151466733,1920.318690948912
