,seed,perturbation,base_reward,perturbed_reward
0,0,1e-08,2385.6949151466733,2375.6108582665534
1,0,4.641588833612782e-08,2385.6949151466733,2128.9263536535627
2,0,2.1544346900318822e-07,2385.6949151466733,2121.197205623215
3,0,1e-06,2385.6949151466733,2811.7187330113525
4,0,4.641588833612773e-06,2385.6949151466733,2117.8652620337743
5,0,2.1544346900318823e-05,2385.6949151466733,1819.478413943453
6,0,0.0001,2385.6949151466733,2360.4212415706297
7,0,0.00046415888336127724,2385.6949151466733,2104.5753410666734
8,0,0.002154434690031882,2385.6949151466733,1781.1802622169378
9,0,0.01,2385.6949151466733,2742.172523699596
10,1,1e-08,2385.6949151466733,2127.3826745106844
11,1,4.641588833612782e-08,2385.6949151466733,2127.349187053859
12,1,2.1544346900318822e-07,2385.6949151466733,2121.2708207989167
13,1,1e-06,2385.6949151466733,2119.8447429438593
14,1,4.641588833612773e-06,2385.6949151466733,2123.69256552176
15,1,2.1544346900318823e-05,2385.6949151466733,2379.5474274677244
16,1,0.0001,2385.6949151466733,2063.165715439085
17,1,0.00046415888336127724,2385.6949151466733,2065.8204403805275
18,1,0.002154434690031882,2385.6949151466733,2321.6322323559675
19,1,0.01,2385.6949151466733,1860.976334914415
20,2,1e-08,2385.6949151466733,2379.806602580022
21,2,4.641588833612782e-08,2385.6949151466733,2392.5041167874715
22,2,2.1544346900318822e-07,2385.6949151466733,2131.239745724593
23,2,1e-06,2385.6949151466733,2667.6710525410926
24,2,4.641588833612773e-06,2385.6949151466733,2116.4170944829634
25,2,2.1544346900318823e-05,2385.6949151466733,1829.3133880263474
26,2,0.0001,2385.6949151466733,1968.9520440410618
27,2,0.00046415888336127724,2385.6949151466733,1791.7902992033896
28,2,0.002154434690031882,2385.6949151466733,2103.202454368196
29,2,0.01,2385.6949151466733,2107.7519662820055
30,3,1e-08,2385.6949151466733,2375.6257906238916
31,3,4.641588833612782e-08,2385.6949151466733,2128.9246116439367
32,3,2.1544346900318822e-07,2385.6949151466733,2121.194710184217
33,3,1e-06,2385.6949151466733,2395.131101148716
