guix, 31.168916940689087,Acrobot-v1,-244.0
guix, 623.9928889274597,Hopper-v5,3566.783750653267
guix, 29.229304552078247,Acrobot-v1,-244.0
guix, 602.7591531276703,Hopper-v5,3566.783750653267
guix, 30.05537509918213,Acrobot-v1,-244.0
guix, 623.3659691810608,Hopper-v5,3566.783750653267
guix, 30.16076135635376,Acrobot-v1,-244.0
guix, 617.2856838703156,Hopper-v5,3566.783750653267
guix, 30.784072399139404,Acrobot-v1,-244.0
guix, 633.6793677806854,Hopper-v5,3566.783750653267
guix, 32.325308084487915,Acrobot-v1,-244.0
guix, 608.0903539657593,Hopper-v5,3566.783750653267
guix, 29.46185612678528,Acrobot-v1,-244.0
guix, 610.1534061431885,Hopper-v5,3566.783750653267
guix, 30.820377826690674,Acrobot-v1,-244.0
guix, 628.0191075801849,Hopper-v5,3566.783750653267
guix, 30.96923565864563,Acrobot-v1,-244.0
guix, 620.070618391037,Hopper-v5,3566.783750653267
guix, 30.59210777282715,Acrobot-v1,-244.0
guix, 631.2842533588409,Hopper-v5,3566.783750653267
conda, 29.096855878829956,Acrobot-v1,-86.0
conda, 572.4316127300262,Hopper-v5,3465.185
conda, 28.677951097488403,Acrobot-v1,-86.0
conda, 581.4652936458588,Hopper-v5,3465.185
conda, 28.407784700393677,Acrobot-v1,-86.0
conda, 564.262856721878,Hopper-v5,3465.185
conda, 28.647745370864868,Acrobot-v1,-86.0
conda, 561.5633919239044,Hopper-v5,3465.185
conda, 27.542770385742188,Acrobot-v1,-86.0
conda, 553.6700148582458,Hopper-v5,3465.185
conda, 27.39846420288086,Acrobot-v1,-86.0
conda, 558.9166176319122,Hopper-v5,3465.185
conda, 27.564770221710205,Acrobot-v1,-86.0
conda, 559.7943480014801,Hopper-v5,3465.185
conda, 28.234930276870728,Acrobot-v1,-86.0
conda, 578.1246061325073,Hopper-v5,3465.185
conda, 29.396860599517822,Acrobot-v1,-86.0
conda, 568.678498506546,Hopper-v5,3465.185
conda, 28.74956202507019,Acrobot-v1,-86.0
conda, 571.5678634643555,Hopper-v5,3465.185
guix-avx2, 31.23711085319519,Acrobot-v1,-79.0
guix-avx2, 637.6351006031036,Hopper-v5,3557.562380194664
guix-avx2, 31.808309316635132,Acrobot-v1,-79.0
guix-avx2, 637.4238119125366,Hopper-v5,3557.562380194664
guix-avx2, 31.006531238555908,Acrobot-v1,-79.0
guix-avx2, 641.5198123455048,Hopper-v5,3557.562380194664
guix-avx2, 30.960557222366333,Acrobot-v1,-79.0
guix-avx2, 627.0365123748779,Hopper-v5,3557.562380194664
guix-avx2, 31.041221857070923,Acrobot-v1,-79.0
guix-avx2, 637.9219546318054,Hopper-v5,3557.562380194664
guix-avx2, 31.413591861724854,Acrobot-v1,-79.0
guix-avx2, 640.3149642944336,Hopper-v5,3557.562380194664
guix-avx2, 30.8317768573761,Acrobot-v1,-79.0
guix-avx2, 625.1432826519012,Hopper-v5,3557.562380194664
guix-avx2, 31.501662492752075,Acrobot-v1,-79.0
guix-avx2, 647.0822622776031,Hopper-v5,3557.562380194664
guix-avx2, 31.5280282497406,Acrobot-v1,-79.0
guix-avx2, 642.511474609375,Hopper-v5,3557.562380194664
guix-avx2, 30.740826845169067,Acrobot-v1,-79.0
guix-avx2, 634.5073621273041,Hopper-v5,3557.562380194664
