,seed,perturbation,base_reward,perturbed_reward
92,9,2.1544346900318822e-07,1553.3682664335986,1553.5831648801932
93,9,1e-06,1553.3682664335986,1840.2579017405087
94,9,4.641588833612773e-06,1553.3682664335986,1556.4849177229758
95,9,2.1544346900318823e-05,1553.3682664335986,1838.0645985846013
96,9,0.0001,1553.3682664335986,1541.9803058551925
97,9,0.00046415888336127724,1553.3682664335986,1818.9209179301806
98,9,0.002154434690031882,1553.3682664335986,1541.0563540723153
99,9,0.01,1553.3682664335986,923.5784263221865
100,10,1e-08,2413.637775404639,1799.8929074184646
101,10,4.641588833612782e-08,2413.637775404639,1801.690993010008
102,10,2.1544346900318822e-07,2413.637775404639,1801.3632268629037
103,10,1e-06,2413.637775404639,1793.778238495345
104,10,4.641588833612773e-06,2413.637775404639,1776.3039551769757
105,10,2.1544346900318823e-05,2413.637775404639,2288.141068046718
106,10,0.0001,2413.637775404639,2221.796353121356
107,10,0.00046415888336127724,2413.637775404639,1810.088826593342
108,10,0.002154434690031882,2413.637775404639,2071.7729804152
109,10,0.01,2413.637775404639,1614.0707195721545
110,11,1e-08,2376.99682444227,2392.1020479620856
111,11,4.641588833612782e-08,2376.99682444227,2389.2028533427497
112,11,2.1544346900318822e-07,2376.99682444227,1796.1708401012074
113,11,1e-06,2376.99682444227,1781.5126860491778
114,11,4.641588833612773e-06,2376.99682444227,2080.771828254545
115,11,2.1544346900318823e-05,2376.99682444227,1556.496632471436
116,11,0.0001,2376.99682444227,2219.620701178903
117,11,0.00046415888336127724,2376.99682444227,1516.5916587945655
118,11,0.002154434690031882,2376.99682444227,1189.9665097412812
119,11,0.01,2376.99682444227,1183.61957042419
120,12,1e-08,2174.242775726147,2187.527774912566
121,12,4.641588833612782e-08,2174.242775726147,2233.3476110324705
122,12,2.1544346900318822e-07,2174.242775726147,2128.0075282836533
123,12,1e-06,2174.242775726147,2397.408767944098
124,12,4.641588833612773e-06,2174.242775726147,1869.3708100573251
125,12,2.1544346900318823e-05,2174.242775726147,2134.2966276738284
126,12,0.0001,2174.242775726147,2106.5365061586012
127,12,0.00046415888336127724,2174.242775726147,2366.8408722126096
128,12,0.002154434690031882,2174.242775726147,1640.8941213710807
129,12,0.01,2174.242775726147,520.5944074189384
130,13,1e-08,1556.9927481391135,1556.9933518806931
131,13,4.641588833612782e-08,1556.9927481391135,1556.9955520396857
132,13,2.1544346900318822e-07,1556.9927481391135,1557.0057967179441
133,13,1e-06,1556.9927481391135,1557.3670465947798
134,13,4.641588833612773e-06,1556.9927481391135,1557.526421189306
135,13,2.1544346900318823e-05,1556.9927481391135,1557.5600468703776
136,13,0.0001,1556.9927481391135,1838.1577529498368
137,13,0.00046415888336127724,1556.9927481391135,1848.420407665832
138,13,0.002154434690031882,1556.9927481391135,2849.1608170462428
139,13,0.01,1556.9927481391135,594.7522278783957
140,14,1e-08,1824.3761623230928,1822.9115078346977
141,14,4.641588833612782e-08,1824.3761623230928,1823.1546837334436
142,14,2.1544346900318822e-07,1824.3761623230928,1826.5683112493596
143,14,1e-06,1824.3761623230928,2095.319980587454
144,14,4.641588833612773e-06,1824.3761623230928,1541.5486298971155
145,14,2.1544346900318823e-05,1824.3761623230928,1551.1746317461982
146,14,0.0001,1824.3761623230928,1552.8319329761475
147,14,0.00046415888336127724,1824.3761623230928,1817.480225359536
148,14,0.002154434690031882,1824.3761623230928,2389.6216508916655
149,14,0.01,1824.3761623230928,1082.9344648741805
150,15,1e-08,1799.1047397270042,1799.8950341675777
151,15,4.641588833612782e-08,1799.1047397270042,1800.240993378902
152,15,2.1544346900318822e-07,1799.1047397270042,1791.2171473572885
153,15,1e-06,1799.1047397270042,2236.8421836033294
154,15,4.641588833612773e-06,1799.1047397270042,1796.7999148135748
155,15,2.1544346900318823e-05,1799.1047397270042,1819.1907226196467
156,15,0.0001,1799.1047397270042,2085.657448865564
157,15,0.00046415888336127724,1799.1047397270042,1501.2165264380612
158,15,0.002154434690031882,1799.1047397270042,2099.920527529623
159,15,0.01,1799.1047397270042,771.3996719369609
160,16,1e-08,2095.2242100719777,2091.2191562587695
161,16,4.641588833612782e-08,2095.2242100719777,2237.001738321741
162,16,2.1544346900318822e-07,2095.2242100719777,1828.305874487532
163,16,1e-06,2095.2242100719777,3085.5323970482814
164,16,4.641588833612773e-06,2095.2242100719777,1926.7095860682043
165,16,2.1544346900318823e-05,2095.2242100719777,1539.9525576280314
166,16,0.0001,2095.2242100719777,1551.3789867324317
167,16,0.00046415888336127724,2095.2242100719777,2090.070896331531
168,16,0.002154434690031882,2095.2242100719777,1779.3061621058132
169,16,0.01,2095.2242100719777,8.332319164275491
170,17,1e-08,1513.6118393458723,1513.6113771712587
171,17,4.641588833612782e-08,1513.6118393458723,1513.6096953146134
172,17,2.1544346900318822e-07,1513.6118393458723,1513.6025193455298
173,17,1e-06,1513.6118393458723,1513.5712160542676
174,17,4.641588833612773e-06,1513.6118393458723,1507.5455886789132
175,17,2.1544346900318823e-05,1513.6118393458723,1505.2747111214608
176,17,0.0001,1513.6118393458723,1506.8920742266469
177,17,0.00046415888336127724,1513.6118393458723,2601.2384334726644
