r,l
140.0,6213
260.0,7799
69.0,3117
274.0,6833
119.0,5550
78.0,4913
248.0,6248
52.0,4298
44.0,3721
187.0,4692
82.0,4840
100.0,6526
275.0,5780
230.0,5980
66.0,2580
