r,l
140.0,6213
338.0,8690
302.0,7653
84.0,4786
105.0,5261
88.0,3473
36.0,2021
318.0,5666
70.0,4510
379.0,5263
267.0,5157
171.0,6835
154.0,6623
81.0,5296
