#{"t_start": 1772411760.7073903, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.109985
7.0,80,0.215775
12.0,140,0.385555
6.0,70,0.47016
7.0,84,0.571576
1.0,16,0.590956
2.0,26,0.622469
1.0,16,0.641879
4.0,48,0.699902
7.0,80,0.796653
17.0,188,1.023673
5.0,58,1.093827
6.0,72,1.180905
10.0,116,1.32113
1.0,16,1.340535
1.0,16,1.35993
10.0,116,1.500101
9.0,104,1.625715
7.0,84,1.72717
5.0,60,1.799742
2.0,26,1.831364
12.0,140,2.000771
12.0,142,2.172462
5.0,58,2.24266
9.0,102,2.366031
2.0,26,2.397568
3.0,38,2.443601
11.0,130,6.056278
5.0,60,6.128014
3.0,38,6.170179
6.0,70,6.246815
4.0,48,6.300392
11.0,126,6.444035
5.0,60,6.517488
1.0,16,6.537056
12.0,142,6.70987
12.0,138,6.877675
10.0,116,7.020168
4.0,48,7.078576
15.0,174,7.289982
9.0,104,7.416354
5.0,60,7.489206
15.0,166,7.692015
2.0,26,7.723767
12.0,140,7.893828
9.0,102,8.017799
7.0,82,8.117462
6.0,74,8.208848
8.0,92,8.320656
1.0,16,8.340201
9.0,102,11.706453
3.0,38,11.766047
11.0,128,11.932177
5.0,58,12.002674
3.0,38,12.048858
3.0,38,12.095045
7.0,82,12.194523
15.0,166,12.397438
12.0,136,12.566219
5.0,58,12.636781
3.0,38,12.683018
15.0,166,12.885318
9.0,104,13.012053
6.0,70,13.097188
2.0,26,13.128812
7.0,82,13.228449
6.0,72,13.31584
12.0,140,13.485686
8.0,90,13.595093
7.0,80,13.692096
1.0,16,13.711569
7.0,80,13.80855
9.0,104,13.934516
4.0,48,13.992709
7.0,80,14.089603
5.0,58,14.159928
