#{"t_start": 1772187919.6517038, "env_id": "MinAtar/Breakout-v1"}
r,l,t
4.0,48,0.084756
7.0,80,0.16664
12.0,140,0.310131
6.0,70,0.378056
7.0,84,0.457588
1.0,16,0.472656
2.0,26,0.496666
1.0,16,0.511078
4.0,48,0.55408
7.0,80,0.625814
17.0,188,0.794369
5.0,58,0.846551
6.0,72,0.911414
10.0,116,1.015729
1.0,16,1.030159
1.0,16,1.044609
10.0,116,1.148825
9.0,104,1.242237
7.0,84,1.31768
5.0,60,1.371543
2.0,26,1.394928
12.0,140,1.521168
12.0,142,1.648803
5.0,58,1.700991
9.0,102,1.792956
2.0,26,1.816424
3.0,38,1.85076
11.0,130,4.27202
5.0,60,4.334347
3.0,38,4.37315
6.0,70,4.440337
4.0,48,4.484196
11.0,126,4.595665
7.0,82,4.668069
4.0,48,4.710431
12.0,138,4.832773
7.0,80,4.904985
6.0,70,4.969534
17.0,188,5.139613
6.0,70,5.202974
9.0,106,5.298928
12.0,140,5.425483
6.0,70,5.489545
3.0,38,5.524018
12.0,140,5.650676
15.0,176,5.809838
6.0,70,5.873265
12.0,140,6.000911
4.0,48,6.044882
18.0,202,8.26777
1.0,16,8.282058
9.0,104,8.375216
16.0,178,8.536175
9.0,104,8.630234
17.0,192,8.804209
6.0,70,8.867672
2.0,26,8.891273
8.0,90,8.972741
1.0,16,8.987323
13.0,150,9.122942
5.0,60,9.177231
7.0,82,9.25235
6.0,70,9.315625
11.0,128,9.431236
7.0,82,9.505419
6.0,70,9.568853
7.0,80,9.641309
1.0,16,9.655885
5.0,58,9.709095
11.0,130,9.826716
2.0,28,9.852127
9.0,102,9.94443
