#{"t_start": 1774164036.059272, "env_id": "MinAtar/Breakout-v1"}
r,l,t
11.0,130,2.521808
19.0,154,2.628607
5.0,60,2.670226
9.0,106,2.742996
7.0,80,2.821128
9.0,102,2.895625
6.0,74,2.946469
5.0,60,2.987727
11.0,130,3.07742
2.0,26,3.095336
8.0,92,3.160936
9.0,102,3.231375
19.0,154,3.337062
6.0,70,3.385298
11.0,126,3.471565
10.0,116,3.551506
6.0,72,3.601537
19.0,154,3.708196
11.0,126,3.795019
11.0,130,5.590518
9.0,104,5.680784
10.0,118,5.765824
9.0,102,5.835782
11.0,130,5.925575
19.0,154,6.031014
8.0,92,6.094291
6.0,70,6.143158
6.0,72,6.192663
20.0,164,6.305308
3.0,38,6.331427
11.0,130,6.421242
11.0,130,6.510868
8.0,96,6.576738
15.0,118,6.658128
11.0,126,6.745158
12.0,140,6.841486
11.0,130,6.931529
10.0,116,7.011658
20.0,164,8.82482
11.0,130,8.914742
9.0,102,8.985595
11.0,130,9.076703
12.0,140,9.173539
9.0,106,9.247209
0.0,6,9.251431
11.0,130,9.340972
20.0,164,9.454584
9.0,104,9.526267
3.0,38,9.552587
7.0,82,9.609201
20.0,164,9.722843
6.0,70,9.771281
1.0,16,9.782434
20.0,164,9.895502
5.0,62,9.938225
3.0,38,9.964799
8.0,90,10.027015
10.0,116,10.107181
