r,l
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-446.0,447
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-500.0,500
-378.0,379
-500.0,500
-413.0,414
-416.0,417
-496.0,497
-411.0,412
-379.0,380
-292.0,293
-307.0,308
-478.0,479
-261.0,262
-347.0,348
-223.0,224
-280.0,281
-281.0,282
-467.0,468
-237.0,238
-241.0,242
-259.0,260
-278.0,279
-248.0,249
-167.0,168
-143.0,144
-174.0,175
-205.0,206
-366.0,367
-484.0,485
-169.0,170
-224.0,225
-235.0,236
-192.0,193
-192.0,193
-219.0,220
-184.0,185
-500.0,500
-229.0,230
-500.0,500
-204.0,205
-166.0,167
-216.0,217
-184.0,185
-164.0,165
-313.0,314
-214.0,215
-212.0,213
-178.0,179
-123.0,124
-232.0,233
-136.0,137
-195.0,196
-153.0,154
-126.0,127
-186.0,187
-163.0,164
-181.0,182
-238.0,239
-159.0,160
-184.0,185
-147.0,148
-161.0,162
-236.0,237
-126.0,127
-162.0,163
-199.0,200
-161.0,162
-134.0,135
-145.0,146
-218.0,219
-147.0,148
-179.0,180
-125.0,126
-132.0,133
-145.0,146
-130.0,131
-153.0,154
-167.0,168
-133.0,134
-166.0,167
-169.0,170
-167.0,168
-118.0,119
-137.0,138
-120.0,121
-148.0,149
-137.0,138
-117.0,118
-100.0,101
-120.0,121
-129.0,130
-167.0,168
-94.0,95
-110.0,111
-120.0,121
-125.0,126
-130.0,131
-105.0,106
-104.0,105
-124.0,125
-126.0,127
-116.0,117
-144.0,145
-118.0,119
-147.0,148
-119.0,120
-122.0,123
-106.0,107
-105.0,106
-174.0,175
-148.0,149
-108.0,109
-114.0,115
-113.0,114
-126.0,127
-129.0,130
-198.0,199
-96.0,97
-147.0,148
-126.0,127
-183.0,184
-109.0,110
-154.0,155
-126.0,127
-228.0,229
-135.0,136
-107.0,108
-102.0,103
-113.0,114
-106.0,107
-96.0,97
-101.0,102
-104.0,105
-97.0,98
-159.0,160
-117.0,118
-162.0,163
-105.0,106
-118.0,119
-133.0,134
-117.0,118
-250.0,251
-129.0,130
-154.0,155
-109.0,110
-105.0,106
-96.0,97
-110.0,111
-110.0,111
-102.0,103
-158.0,159
-110.0,111
-109.0,110
-111.0,112
-105.0,106
-84.0,85
-116.0,117
-149.0,150
-91.0,92
-153.0,154
-93.0,94
-120.0,121
-102.0,103
-233.0,234
-101.0,102
-104.0,105
-122.0,123
-134.0,135
-88.0,89
-161.0,162
-202.0,203
-111.0,112
-111.0,112
-85.0,86
-95.0,96
-85.0,86
-109.0,110
-127.0,128
-89.0,90
-128.0,129
-72.0,73
-78.0,79
-110.0,111
-93.0,94
-101.0,102
