r,l
140.0,6213
156.0,6489
273.0,6313
104.0,4926
12.0,2055
130.0,5903
132.0,5479
230.0,5402
92.0,5033
57.0,3456
22.0,2596
39.0,3527
76.0,4381
219.0,6469
266.0,6111
265.0,6705
