r,l
140.0,6213
156.0,6489
83.0,5081
132.0,6899
65.0,4971
9.0,1954
40.0,3239
102.0,5994
108.0,5717
80.0,4829
23.0,3211
46.0,3987
332.0,6329
266.0,6926
138.0,5823
